State,Area name,Education level,1970,1980,1990,2000,2016
UT,Utah,Some college,17.4,24.2,35.7,37,36.8
UT,Utah,College or more,14,19.9,22.3,26.1,31.7
VT,Vermont,Less than high school,42.9,29,19.2,13.6,8.1
VT,Vermont,High school,33,36.4,34.6,32.4,29.9
VT,Vermont,Some college,12.6,15.6,21.9,24.6,25.8
VT,Vermont,College or more,11.5,19,24.3,29.4,36.2
VA,Virginia,Less than high school,52.2,37.6,24.8,18.5,11.4
VA,Virginia,High school,25.2,28.4,26.6,26,24.5
VA,Virginia,Some college,10.3,14.9,24,26,27.2
VA,Virginia,College or more,12.3,19.1,24.5,29.5,36.9
WA,Washington,Less than high school,36.5,22.4,16.2,12.9,9.4
WA,Washington,High school,36.2,37.4,27.9,24.9,22.9
WA,Washington,Some college,14.5,21.3,33,34.4,34.1
WA,Washington,College or more,12.7,19,22.9,27.7,33.6
WV,West Virginia,Less than high school,58.4,44,34,24.8,14.7
WV,West Virginia,High school,27.6,35.6,36.6,39.4,40.5
WV,West Virginia,Some college,7.3,10,17,21,25.3
WV,West Virginia,College or more,6.8,10.4,12.3,14.8,19.6
WI,Wisconsin,Less than high school,45.5,30.4,21.4,14.9,8.6
WI,Wisconsin,High school,34.8,40.4,37.1,34.6,31.7
WI,Wisconsin,Some college,9.9,14.4,23.8,28.1,31.3
WI,Wisconsin,College or more,9.8,14.8,17.7,22.4,28.4
WY,Wyoming,Less than high school,37.1,22.1,17,12.1,7.6
WY,Wyoming,High school,36.2,40,33.2,31,29.2
WY,Wyoming,Some college,14.8,20.8,31.1,35,37.2
WY,Wyoming,College or more,11.8,17.2,18.8,21.9,26
US,United States,Less than high school,47.7,33.5,24.8,19.6,13
US,United States,High school,31.1,34.6,30,28.6,27.5
US,United States,Some college,10.6,15.7,24.9,27.4,29.1
US,United States,College or more,10.7,16.2,20.3,24.4,30.3
US,United States,Less than high school,1970,47.7,,,
US,United States,High school,1970,31.1,,,
US,United States,Some college,1970,10.6,,,
US,United States,College or more,1970,10.7,,,
US,United States,Less than high school,1980,33.5,,,
US,United States,High school,1980,34.6,,,
US,United States,Some college,1980,15.7,,,
US,United States,College or more,1980,16.2,,,
US,United States,Less than high school,1990,24.8,,,
US,United States,High school,1990,30,,,
US,United States,Some college,1990,24.9,,,
US,United States,College or more,1990,20.3,,,
US,United States,Less than high school,2000,19.6,,,
US,United States,High school,2000,28.6,,,
US,United States,Some college,2000,27.4,,,
US,United States,College or more,2000,24.4,,,
US,United States,Less than high school,2016,13,,,
US,United States,High school,2016,27.5,,,
US,United States,Some college,2016,29.1,,,
US,United States,College or more,2016,30.3,,,
